Vulcan Champions	Daily Care	Feed your champion at least one potion today	1	Daily	Retention	Easy	Lowest-friction daily — guarantees one app-open per day. Feeds the bond/mood loop.	Owns at least 1 champion + potions; Active Frenzy Pass	Server-tracks the first feed event per UTC day. Resets at 00:00 UTC.	Jamie	Idea
Vulcan Champions	Daily Skirmish	Win 1 arena battle today (vs bot or PvP)	1	Daily	Gameplay	Easy	Drives daily Arena traffic. Win-only filter prevents queue-spam farming.	Owns 1+ champion at L3+; Active Frenzy Pass	Tracked off the existing arena_battle_resolved event with winner=keeper.	Jamie	Idea
Vulcan Champions	Quest Stamina	Complete 1 adventure quest today (any tier)	1	Daily	Gameplay	Easy	Pulls keepers into the Quest hub every day. Any tier counts so even casual players hit it.	Owns 1+ champion; Active Frenzy Pass	Reset at UTC midnight; first quest_complete event per day.	Jamie	Idea
Vulcan Champions	Daily Forge	Equip or swap any gear piece on a champion today	1	Daily	Gameplay	Easy	Drives inventory engagement and gear awareness. Gentle nudge into the Stable.	Owns 1+ gear NFT; Active Frenzy Pass	Tracked from equipment_change event. Prevents pure idle-feed playstyle.	Jamie	Idea
Vulcan Champions	Daily Bond	Gain +5 bond on any champion today	1	Daily	Engagement	Easy	Care actions stack — 5 bond is roughly one full care loop (feed + quest + arena win). Rewards real engagement, not single clicks.	Owns 1+ champion at L3+; Active Frenzy Pass	Bond delta calculated server-side at UTC midnight rollover.	Jamie	Idea
Vulcan Champions	Stable Visit	Open the Stable view and view every champion you own today	1	Daily	Retention	Easy	Light retention quest specifically for multi-champion keepers. Encourages the collection mindset.	Owns 2+ champions; Active Frenzy Pass	Only triggers for keepers with 2+ champions. Tracked from champion_view events.	Jamie	Idea
Vulcan Champions	Adventure Variety	Complete 1 Easy AND 1 Medium-or-Hard quest today	1	Daily	Gameplay	Easy-Medium	Forces varied play — can't farm just easy quests. Pushes keepers to level up enough to attempt Hard.	Owns 1+ champion at L5+; Active Frenzy Pass	Two-condition tracking: easy_quest_done AND (medium OR hard)_quest_done in the same UTC day.	Jamie	Idea
Vulcan Champions	Diligent Keeper	Log in and care for your champion 6 of 7 days (any potion-feed, quest-claim, or arena fight counts as a care action)	1	Weekly	Retention	Easy	Mirrors the proven Berserk Turning Up pattern — guaranteed weekly retention floor at low effort. Care actions cover all three core loops (feed/quest/arena) so any playstyle qualifies.	Owns at least 1 champion; Active Frenzy Pass	Anti-farm: each day requires at least one tracked event, server-side. Already tracked by the bond/mood system.	Jamie	Idea
Vulcan Champions	Adventure Apprentice	Complete 5 in-game adventure quests this week (Easy/Medium/Hard tiers all count)	1	Weekly	Gameplay	Easy	Drives the Quest hub — the most differentiated mechanic in Champions. Quest progress also fills the Evolution Bar so this couples retention with progression.	Owns at least 1 champion; Active Frenzy Pass	Backend: count distinct quest_completions in the rolling 7-day window per wallet. Already tracked.	Jamie	Idea
Vulcan Champions	Arena Initiate	Win 5 arena battles this week (vs bot or PvP)	1	Weekly	Gameplay	Easy	Drives Arena participation. Win-only filter prevents queue-spam farming. ELO-bracketed matches mean this scales with the keeper's level — fair across the curve.	Owns at least 1 champion at L3+; Active Frenzy Pass	Anti-farm: only PvP wins or wins vs bot in player's ELO bracket count. Bot dummy wins below bracket are ignored.	Jamie	Idea
